Titles,Links,Dates,Author,Articles
Stocks Fly As Oil Freeze Looks Likely,http://www.stockpricetoday.com/stock-news/stocks-fly-as-oil-freeze-looks-likely/,"April 13, 2016",Pete Southern,"The markets burst into action yesterday amid news that a final deal for a freeze in Oil production, from Russia and major nations, will not depend on Iran. Crude Oil pushed up 3% to within a whisker of the March 2016 high.Stocks gained with the S&P500 closing up at 2,061.72 and the Dow Jones Industrial Average at 17,721.25.The rise looks set to continue, with major European indices joining in the surge. The FTSE 100 rushed to a 2016 high during early morning trading, buoyed by Oil prices.Whilst US markets are not hitting new highs for the year, this strength could yet push the market that way. Energy stocks are gaining and with a surge in commodities, the market doesn’t yet look set for a fall.However, a lot will depend on earning season. Reuters commented today:Investors will focus on corporate earnings over the next several weeks, amid turbulent global markets and uncertainty surrounding the U.S. Federal Reserve’s plan to raise interest rates.Yet for now, advancing issues are outnumbering declining issues on the NYSE and Nasdaq.Gold held firm, after a recent rise from $1200. However, early European trade has seen the precious metal pull back a little, which could aid the fuel into stocks."
Markets Turn Down As Earnings Begin,http://www.stockpricetoday.com/stock-news/markets-turn-down-as-earnings-begin/,"April 12, 2016",Pete Southern,"After an initial rise on Monday US Markets turned downward, in anticipation of a “season” of quarterly results that do not look to be giving investors’ confidence.As usual, the aluminum producer Alcoa kicked off the earnings and confirmed the pessimism. Its results and outlook disappointed, and the stock price lost nearly 4% in after-hours trading.The profits of companies in the S&P 500 are expected to be down 7.7% on average in the first quarter, according to media outlets.The stock market has experienced a turbulent start to the year, followed by a strong rebound since mid-February and the major indices are now little changed since the 2016 open. As usual also, several banks will announce their results this week, starting with JPMorgan Chase on Wednesday.Financial stocks index, which so far is the worst performing sector since the beginning of the year, posted a modest gain of 0.34% on Monday. However, the only sector to finish up was natural resources.The Dow Jones lost 20.55 points and closed at 17,556.41.Back to stocks, Yahoo gained 1.14%, with the parent company of the British newspaper Daily Mail talking with third parties to mount a bid on the internet assets of the US group.Norfolk Southern lost 2.7%, as Canadian Pacific decided to abandon its takeover bid of $28 billion.On the foreign exchange market, the dollar reduced its losses against the yen after touching a 17-month low of 107.64, with Japan again warning it could intervene to weaken the currency. A number of officials from the Federal Reserve will speak this week but traders are not holding out hope for anything unexpected."
Can Twitter’s Stock Price Rise From Here?,http://www.stockpricetoday.com/stock-news/can-twitters-stock-price-rise-from-here/,"April 5, 2016",Pete Southern,"Even though it’s a mammoth of the social world, Twitter has left investors with misery since it’s IPO. Since the glorious rise to $70 in late 2013, the stock price has kept on falling, slumping to a low of around $14 during the first quarter in 2016.Twitter’s spectacular slump has been based on 2 things (mainly).1. Even though it’s shows earnings growth, it’s still not profitable.
2. User base has been static, and not growing the way investors were hoping.There have been many changes during the time it’s been trading on the exchange. Jack Dorsey is back at the helm, and recently he replaced a lot of the higher execs, which smells like him putting his foot down, and making a fresh start.The Twitter stock price got a few sharp boosts from some of those changes, but the facts remain. The company is still not showing “the potential” investors need to give them confidence it can grow into a profitable company, and mirror the performance of heavy weights such as FB.On the upside, there have been a few neat (albeit small) changes to the platform at Twitter. They recently added the feature of inserting a moving GIF image into a post. Whilst this is nothing groundbreaking, it does give users a way to express themselves more, as there’s limitations on what you can “get across” in a 140 character Tweet. GIF’s are also popular with the younger generation, and age group where Twitter really needed more penetration.There are many who think this change is maybe enough to show a small increase in user base over the coming months.Twitter’s advertising platform is being continually opened up to new territories for self serve. So growth on advert spend should continue. They also started monetizing “logged out” users. The company stated that they have a huge amount of traffic that views Tweets (as Google shows them in search results) but do not log in. Whilst not good for user growth, it could be good for the bottom line.Now there are also rumors of a deal with Mastercard getting involved with the “Buy Now” button on sponsored Tweets. It will be interesting to see if that develops into something solid.So with all that, the upside is huge, if they can show any substantial user uptick along with revenue growth. They have plenty cash in the bank, so that side of things should not be a worry.The downside is, that the stock is still risky until it can produce numbers that the market likes. Whilst short term jumps in price may look good, to sustain a long term trend, there really should be some figure to back it up.One thing is for certain. IF Twitter can turn itself round, the stock price right now is a gift. Whether you take that gift or not is down to your risk profile."
How Will Facebook Stock Price Grow From Here?,http://www.stockpricetoday.com/stock-news/how-will-facebook-stock-price-grow-from-here/,"March 30, 2016",Pete Southern,"The stock price of Facebook (FB) has been on a steady climb since early February, but it still has not had the strength to breach the high it printed on the earnings spike in late January. Whilst the markets climb higher each day, FB has not yet had the strength to move higher, but that might be about to change.As you should know, Facebook revenue keeps on growing. It’s user base keeps growing and as such is a great place to invest your money. They innovate, and lead the way when it comes to social networking. A feat that Twitter can only dream of right now.The latest development that’s getting investors excited is the roll out of more ways to enhance messenger.It’s reported by Zacks today that Facebook could be intending to expand payment services within the app. They quoted earlier:Of late, there have been talks regarding the expansion of payments service within the app. The company had ventured into the online payments market last year with the introduction of a person-to-person payment feature on Messenger.It became apparent in 2015 that FB had more up it’s sleeve for messenger, adding photo calling, mobile payments and more. What it seems is now they are moving towards adding some competition for the likes of Apple pay and Paypal.Zacks also quoted:
These do indicate that the company is already advancing in the payments market.  In fact, if it does happen, Facebook will be able to carve a niche despite tough competition from players like Apple AAPL or PayPal. This is because the social media aspect in payment makes it more endearing for users. Also, the convenience of being able to conduct transactions without toggling between apps or websites is something that users have always preferred.One of the most overlooked things by most market commentators is FB in China. It well known that the Chinese Government blocked Facebook (although many use it by proxy access), recently Zuckerberg was seen in China running in Tiamen Square and meeting with top Chinese officials. A move that will almost certainly help build bridges towards opening up that Asian door.This would be HUGE for Facebook’s stock price. We cannot stress how huge this would be. It will blow everything you have seen to date out of the water, and the rush to register will be uncontrollable.When will it happen?Who knows for sure. But it will. There will come a point in  time where FB struggles to grow much further without being able to operate in this territory. So, they WILL bend over backwards to get it done."
"Stocks Ended Up, As BoJ Causes Waves",http://www.stockpricetoday.com/stock-news/stocks-ended-up-as-boj-causes-waves/,"February 1, 2016",Pete Southern,"The US Markets ended the week, with a strong gain. Rising 2.45% on average over the day, and making the early January falls seem “not so bad” as the month drew to a close.The BoJ clearly set out to weaken the Yen against the Dollar with a rate switch to negative, and the move worked perfectly.Stocks of US exporters flew higher, and it seems the rise may have underpinned some of the fear that had crept into the markets since the turn of the year.US growth was up 0.7% of GDP in the 4th quarter instead of 0.8% expected, GDP shows 1.8% YoY against 2.5% end 2014.The slope is clearly down for at least two quarters as the main economic partners, Mexico and Canada, face a severe downturn, and prospects in 2016 are not suddenly going to become better.The Chicago PMI posted a nice surprise, which jumped by almost + 10pts and back above the 55.6. However, one good figure does not make a trend.The confidence index of Michigan household was nothing exciting since it stood at 93.3 against 92′s initial estimate, and also less than expected.Regarding the quarterly results, there are good and less good, with very excessive market reactions in both cases.Amazon, for example, lost -7.6%, -7.5% loss for Electronic Arts, and Gilead -5% … while the ultra-volatile Micron jumped 11.5%. Microsoft on the other hand gained + 5.7% and + 8.6% after Seagate results.More than 92% of values ended up, ie all of those who have not posted disappointing results is proof that the only true mobile purchases was to limit the damage of the month January (and the Dow Jones indeed back from -8% to -5.5%, the S & P500 -8.25% to -5.8%, which is more presentable!).One of the positive elements that Friday, it was crude oil prices, up + 1.35% to $ 33.65; this encouraged further takeovers cheaply on Marathon Oil + 6.1%, + on Valero 5.1% 4.9% Anadarko, Nal Oilwell + 4.7%, + 4.6% Cimarex, Halliburton, Occidental Petroleum and Noble 4.4%."
Stocks Mixed as IBM Disappoints (Again),http://www.stockpricetoday.com/stock-news/stocks-mixed-as-ibm-disappoints-again/,"October 20, 2015",Pete Southern,"Like the pattern seen in Europe, stocks were mixed with a weak strength session. Holding up but not gaining much ground. The US market is supported by a bullish bias in a recovery trend that began 14 sessions ago, making it one of the longest positive streaks of 2015.Traders seemed to wait for the current sales of ‘The Big One’ after closing. The publication of results from IBM.This quarter, as in past 3 years, have been freshly welcomed with a turnover that disappointed (this has become a habit with 14 quarters of contraction) and the gloomy outlook (again, it’s become recurring) since the profit per share in 2015 is expected between $13.25 and $14.25.IBM unveiled a sales 19,28 case against $22.4 in Q3 2014 while the consensus expected19,62.Earnings per share (adjusted) stood slightly above the estimated $3.34 to $3.30. IBM fell more than 4% after hours before stabilizing around -3%.Note also the sanction of 4.8% (and up to 6% at the meeting) imposed on Morgan Stanley for its disappointing quarterly with profit plunging -42.4% and a fall of -17% in trading activity.Flextronics however excited the market with adjusted earnings of 27 cents per share instead of the expected 25, which resulted in a surge of 7.5%.Sandisk soared 7% on takeover speculation by Western Digital (the ‘rumors’ pulled interest from Micron last week … the contenders begin battle?).In economic data, nothing negative on Monday and a new sign of strength in the housing sector: the confidence index of house builders climbed + 3pts (to 64, the highest for 10 years) in October and the indicator of ‘expectations’ (future sales) jumped from + 7pts."
Rise Expected But Outlook Still Mixed On The Market,http://www.stockpricetoday.com/stock-news/rise-expected-but-outlook-still-mixed-on-the-market/,"October 14, 2015",Pete Southern,"US markets are expected rise at the opening, after the release of poor indicators that reinforce the scenario of a postponement of the first Fed rate hike towards the end of the year. Approximately half an hour into early trading in New York, S&P500 had gained 0.5 points to 1994.5, Nasdaq 100 up 2.75 points to 4344.Tuesday night, the Dow finished lower by nearly 0.3% at 17,081.9 points, the S&P 500 dropped about 0.7% to 2003.7 points and the Nasdaq Composite lost nearly 0.9% 4796.6 points.Retail sales rose 0.1% in the US in September, while economists forecast an average increase of 0.2%, and August were revised down, showing a stagnation. In addition, producer prices fell 0.5% last month, where the consensus was betting on a fall of 0.3%. Excluding energy and food, they were down 0.3% while economists expected a 0.1% increase.Traders must also be aware of business inventories for August – expected to be up 0.1% – before publication of the Beige Book of the Federal Reserve tonight. Especially important in this report will be new appreciation of evidence about the bad industry figures, as well as the slowdown in job creation in the summer.Meanwhile, the earnings season continues: JPMorgan Chase revealed profits below expectations for the third quarter, the difficult conditions in financial markets have penalized its financing bank and investment activities.Bank of America returned to profit during the quarter, no longer suffering from the heavy charges recorded in the third quarter 2014 to terminate the proceedings on the issue of ‘subprime’.Wells Fargo meanwhile EPS rose 3% to $ 1.05, in line with analysts’ forecasts, and revenues up similar to a level slightly above expectations.Apart from banks, giant Intel microprocessors has reported a quarterly net profit down 6% yoy, as sales declined due to the weakness of the PC division and despite the strength of its data center pole ."
Fed Rate Hike Aids Markets After Alcoa Disappoints,http://www.stockpricetoday.com/stock-news/fed-rate-hike-aids-markets-after-alcoa-disappoints/,"October 9, 2015",Pete Southern,"Despite the disappointment of Alcoa, which bodes baly for earnings season, buyers always keep flocking to Wall Street, with the extension of the Fed rate hike until next year, after the minutes of the FOMC.After a little over an hour and a half of trading, the Dow rose from about 0.2% to 17,090 points and the S & P 500 to 2017 points.The minutes of the last FOMC meeting proved accommodating, even if they do not clearly indicate whether the Fed believes that the conditions for a rate hike are met or not.The report cemented expectations of a postponement of the first rate hike to 2016, considering that the probability of a rate hike in December 2015 decreased to 38.8%.The positive reaction to the minutes of the last FOMC did overshadow the disappointing quarterly results announced Thursday evening by Alcoa, whose price gave up 4.7%.Indeed, hard hit by falling aluminum prices and the strong dollar, the metals group reported adjusted earnings of seven cents per share, twice less than consensus.Gap meanwhile is down 6.9% on Nasdaq, a day after his point of activity for the month of September for which the San Francisco clothing chain posted a 1% decline of its sales Business."
China Data Lifts US Markets on First Trading Day of October,http://www.stockpricetoday.com/stock-news/china-data-lifts-us-markets-on-first-trading-day-of-october/,"October 1, 2015",Pete Southern,"Following on from the previous day, the US stock indices should continue to gain ground in the first session of October, thanks to a good indicators from China. In the first hour of trade, CME S&P 500 was advancing 4.75 points to 1913.5, and the Nasdaq 100 climbed 16.25 points to 4179.25.In New York on Wednesday, the Dow Jones finished up almost 1.5% to 16,284.7 points, the S&P 500 rose 1.9% to 1,920 points and the Nasdaq Composite was up 2.3 % to 4620.2 points.Indices ended on a positive note after their worst quarter since 2011. The growing rumors about the support measures in China and Europe were a key factor in this growth. The official manufacturing PMI index of China made its first gain in three months, easing concerns over the equity markets, although it remained below the 50 no-change.Regarding the US economy, the US Department of Labor counted 277,000 new registered unemployed last week (10,000), while the consensus expected a rise of around 270,000.Still on the statistics, announced shortly after the bell will be PMIs and ISM for the manufacturing sector in September and construction spending for August. However, these data should not have a major impact on the markets, all eyes are now turned to the report on US employment for September, we will see that tomorrow.As a reminder, economists are banking on 200,000 non-farm jobs created and the maintenance of the unemployment rate to 5.1%, consensus comforted by the ADP report broadly in line with expectations on Wednesday."
Oil Takes A Tumble And Sector Ready To Follow,http://www.stockpricetoday.com/stock-news/oil-takes-a-tumble-and-sector-ready-to-follow/,"July 27, 2015",Pete Southern,"The energy sector could take a dip with the release of second quarter results but unless a sharp rise in crude oil prices, it may not even manage to hold its current levels.Oil prices have fallen much more sharply than those of shares during the 13 months since their peak of June 23 2014, making the valuation levels of sector companies remain high. The S&P energy index fell by about 30% over the period as price per barrel of crude slumped 50%.Results for the second quarter in the energy sector are expected above the consensus of financial analysts, who anticipate at this stage a fall of almost 59% compared to the second quarter last year, according to an analysis, which could support their progress.But the sector remains expensive: PER / E ratio results of the sector index is about 23 against 17 for the S&P 500.The PER of the sectoral sub-index S&P exploration and production companies is at its highest level since data began to take it into account in 1995. The consensus for the oil producers of the results is based on an average price the gross dollar 65.19 per barrel in 2016, said an analyst.However, US light crude prices are trading around $ 48 and future contracts highlight an average price in 2016 of about 54 dollars."
